Controlling Institution	System ID	Accession No	Other ID: AS Key Set and CR	Classification term only	Object Type	Brief Description	Credit Line	Media Materials Description	Materials term only	Measurement Description	Update date	Item Count	Classification term only	Record Status	Department	Procedural Status	Signature Marks Date Description	Copyright status	Maker| Role for Export	Provenance full details	Collection	Current Owner	Object Copyright URI	Classification URI	Object Type URI	Materials Type URI	Artist for caption	Maker| Role for Export	Title and date	Medium and dimensions	Controlling Institution for caption	Copyright Holder for caption	Accession Number for caption	Primary Image DAM ID	Image DAM ID	Caption	CR Number	Exhibition Details	Documentation short summary only	Related Object IDs	External File Details
"Georgia O'Keeffe Museum (Santa Fe)"	"1186"	"2006.5.560"	"1734, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"A profile view, facing left, of a girl in a dress, reading, seated on a high back chair."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"ches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Seated Figure), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, ches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.560]"	"726425"	"726425, "	"Georgia O'Keeffe. Untitled (Seated Figure), Lakeville Drawing Book, 1901-1902. Graphite on paper, ches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.560]"	"1734"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1187"	"2006.5.561"	"1735, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Bridge and tree line create the horizon, a large tree in the left foreground. A body of water is the majority of the foreground."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 x 9 1/4 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"			"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untilted (Landscape), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 7 x 9 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.561]"	"726428"	"726428, "	"Georgia O'Keeffe. Untilted (Landscape), Lakeville Drawing Book, 1901-1902. Graphite on paper, 7 x 9 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.561]"	"1735"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1188"	"2006.5.562"	"1736, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Wood floor in the foreground with a shadowed background. A wooden, four legged desk with a girl sitting in a chair are in the foreground."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 x 9 1/4 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Verso: another work, cat. no. 1737"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Figure at Desk), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 7 x 9 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.562]"	"726429"	"726429, "	"Georgia O'Keeffe. Untitled (Figure at Desk), Lakeville Drawing Book, 1901-1902. Graphite on paper, 7 x 9 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.562]"	"1736"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1189"	"2006.5.563"	"1737, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Left profile of a female figure sitting at a desk"	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"9 1/4 x 7 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Figure at Desk), Lakeville Drawing book, 1901-1902"	"Graphite on paper, 9 1/4 x 7 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.563]"	"726432"	"726432, "	"Georgia O'Keeffe. Untitled (Figure at Desk), Lakeville Drawing book, 1901-1902. Graphite on paper, 9 1/4 x 7 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.563]"	"1737"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1190"	"2006.5.564"	"1738, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Five geometric shapes (cylinder, pyramid, rectangular cube, sphere and triangular prism) in front of the horizon line"	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 x 9 1/4 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Geometric Objects), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 7 x 9 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.564]"	"726433"	"726433, "	"Georgia O'Keeffe. Untitled (Geometric Objects), Lakeville Drawing Book, 1901-1902. Graphite on paper, 7 x 9 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.564]"	"1738"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1191"	"2006.5.565"	"1739, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Right profile of figure, waist up is visible, seated at a desk."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"9 1/4 x 7 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Seated Figure), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 9 1/4 x 7 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.565]"	"726434"	"726434, "	"Georgia O'Keeffe. Untitled (Seated Figure), Lakeville Drawing Book, 1901-1902. Graphite on paper, 9 1/4 x 7 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.565]"	"1739"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1192"	"2006.5.566"	"1740, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Open book sitting in front of the horizon line."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 x 9 1/4 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Verso: another work, cat. no. 1741"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Book), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 7 x 9 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.566]"	"726435"	"726435, "	"Georgia O'Keeffe. Untitled (Book), Lakeville Drawing Book, 1901-1902. Graphite on paper, 7 x 9 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.566]"	"1740"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1193"	"2006.5.567"	"1741, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"On the horizon line, flanking a small building in the center og the paper are two trees."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 x 9 1/4 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Building), Lakeville Drawing Book, 1901-1902"	"Graphite on paper, 7 x 9 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.567]"	"726438"	"726438, "	"Georgia O'Keeffe. Untitled (Building), Lakeville Drawing Book, 1901-1902. Graphite on paper, 7 x 9 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.567]"	"1741"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1194"	"2006.5.568a"	"1742, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Paper divided into two sections. Left side has brown brush strokes from the bottom up until a blue stroke which, then purple strokes to the top. A brown triangle appears in the blue stroke. On the right is a brown frame with brown foreground. Blotches of green create the horizon line, and appear to be trees. Around the trees are blue strokes resembling a building."	"Gift of The Georgia O'Keeffe Foundation      "	"Watercolor and graphite on paper"	"Watercolor, Graphite, Paper"	"4 3/8 x 6 1/4 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Verso: another work, cat. no. 1743"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", , "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Landscapes), Sketchbook, 1905-1906"	"Watercolor and graphite on paper, 4 3/8 x 6 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568a]"	"726439"	"726439, "	"Georgia O'Keeffe. Untitled (Landscapes), Sketchbook, 1905-1906. Watercolor and graphite on paper, 4 3/8 x 6 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568a]"	"1742"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1195"	"2006.5.568b"	"1743, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Faint drawing of a cow's head dominates the paper. A small cow's body, as viewed from behind, is in the top left."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"6 1/4 x 4 3/8 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Cow), Sketchbook, 1905-1906"	"Graphite on paper, 6 1/4 x 4 3/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568b]"	"726440"	"726440, "	"Georgia O'Keeffe. Untitled (Cow), Sketchbook, 1905-1906. Graphite on paper, 6 1/4 x 4 3/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568b]"	"1743"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1196"	"2006.5.568c"	"1744, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"On the left side of the paper is rectangular stroke of brown, inside this rectangle are brown and green strokes about one third from bottom to middle. From the middle of the paper to the top third of the paper is a light brown block of color. Beginning at the top edge of the light brown a dark blue fades to a lighter blue at the top of the paper."	"Gift of The Georgia O'Keeffe Foundation      "	"Watercolor on paper"	"Watercolor, Paper"	"4 3/8 x 6 1/4  inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Verso: another work, cat. no. 1745"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Landscape), Sketchbook, 1905-1906"	"Watercolor on paper, 4 3/8 x 6 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568c]"	"726442"	"726442, "	"Georgia O'Keeffe. Untitled (Landscape), Sketchbook, 1905-1906. Watercolor on paper, 4 3/8 x 6 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568c]"	"1744"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1197"	"2006.5.568d"	"1745, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Vertical strokes in the bottom center of the paper."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"6 1/4 x 4 3/8 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Fragments), Sketchbook, 1905-1906"	"Graphite on paper, 6 1/4 x 4 3/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568d]"	"726444"	"726444, "	"Georgia O'Keeffe. Untitled (Fragments), Sketchbook, 1905-1906. Graphite on paper, 6 1/4 x 4 3/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568d]"	"1745"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1198"	"2006.5.568e"	"1746, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Brown rectangular shape, with darker outline, covers the bottom quarter of the paper. A figure with no facial features, in a blue and white top and a tan hat with a red bow, faces forward right. Background is a blue/yellow wash."	"Gift of The Georgia O'Keeffe Foundation      "	"Watercolor and graphite on paper"	"Watercolor, Graphite, Paper"	"6 1/4 x 4 3/8 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", , "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Figure), Sketchbook, 1905-1906"	"Watercolor and graphite on paper, 6 1/4 x 4 3/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568e]"	"726445"	"726445, "	"Georgia O'Keeffe. Untitled (Figure), Sketchbook, 1905-1906. Watercolor and graphite on paper, 6 1/4 x 4 3/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568e]"	"1746"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1199"	"2006.5.568f"	"1747, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"A faint graphite sketch of two flowers, one in upper left corner and one in the bottom right."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"6 1/4 x 4 3/8 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Verso: another work, cat. no. 1746"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Flowers), Sketchbook, 1905-1906"	"Graphite on paper, 6 1/4 x 4 3/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568f]"	"726448"	"726448, "	"Georgia O'Keeffe. Untitled (Flowers), Sketchbook, 1905-1906. Graphite on paper, 6 1/4 x 4 3/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568f]"	"1747"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"12"	"1996.6.4"		"Photographs/Visual Works"		"Image of a  large cow's skull hanging on adobe wall portal at Ghost Ranch; vigas visible above"	"Gift of Nathaniel O. and Page Allen Owings      "	"Gelatin silver print"	"Gelatin silver print/Photograph"	"13 3/8 x 10 7/16 inches"	"Aug 28 2019"	"1"	"Photographs/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Typed label on back of photograph with title, date and price with addition number and artist signature handwritten in pen."	"Copyright"	"Photographer: Todd Webb"			"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300046300"			"Todd Webb"	"Photographer: Todd Webb"	"Cow's Skull at the Ghost Ranch - New Mexico, 1959"	"Gelatin silver print, 13 3/8 x 10 7/16 inches"	"Georgia O'Keeffe Museum"	"© Todd Webb Archive"	"[1996.6.4]"	"729454"	"729454, "	"Todd Webb. Cow's Skull at the Ghost Ranch - New Mexico, 1959. Gelatin silver print, 13 3/8 x 10 7/16 inches. Georgia O'Keeffe Museum. Gift of Nathaniel O. and Page Allen Owings. © Todd Webb Archive. [1996.6.4]"					
"Georgia O'Keeffe Museum (Santa Fe)"	"1200"	"2006.5.568g"	"1748, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"A right profile of a rough sketch of a sitting dog."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"6 1/4 x 4 3/8 inches"	"Dec 13 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Dog), Sketchbook, 1905-1906"	"Graphite on paper, 6 1/4 x 4 3/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.568g]"	"726449"	"726449, "	"Georgia O'Keeffe. Untitled (Dog), Sketchbook, 1905-1906. Graphite on paper, 6 1/4 x 4 3/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.568g]"	"1748"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1201"	"2009.1.1"	"278, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Blue and white abstract shapes."	"Gift of The Burnett Foundation      "	"Watercolor on paper"	"Watercolor, Paper"	"12 x 8 7/8 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Inscriptions: On mount: ""....Georgis O'Keeffe / Dec - 22 1982"" (black Ind)"	"Copyright"	"Artist: Georgia O'Keeffe"	"Private collection, gift, 1982         "		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Blue Shapes, 1919"	"Watercolor on paper, 12 x 8 7/8 inches"	"Georgia O'Keeffe Museum"	"© Private Collection*"	"[2009.1.1]"	"725502"	"725502, "	"Georgia O'Keeffe. Blue Shapes, 1919. Watercolor on paper, 12 x 8 7/8 inches. Georgia O'Keeffe Museum. Gift of The Burnett Foundation. © Private Collection*. [2009.1.1]"	"278"	"1923 New York (Anderson) ^2016 Santa Fe (O'Keeffe) Abstract Nature"			
"Georgia O'Keeffe Museum (Santa Fe)"	"1202"	"2006.5.99"	"514, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Graphite sketch of construction site with two cranes facing left and outline of buildings in background"	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 7/8 x 6 inches"	"Dec 05 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Watermark: HAMMERMILL BOND MADE IN U.S.A."	"Copyright"	"Artist: Georgia O'Keeffe"	"estate of the artist, 1986         "		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (New York), 1925-1932"	"Graphite on paper, 7 7/8 x 6 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.99]"	"725563"	"725563, "	"Georgia O'Keeffe. Untitled (New York), 1925-1932. Graphite on paper, 7 7/8 x 6 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.99]"	"514"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1203"	"2006.5.100"	"515, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"Vertical graphite sketch of building outlines showing one large building on the right with another stepped building within and smaller buildings on the left showing rooftop details."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"7 7/8 x 6 inches"	"Dec 05 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Watermark: HAMMERMILL BOND MADE IN U.S.A."	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the Artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (New York), 1925-1932"	"Graphite on paper, 7 7/8 x 6 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.100]"	"725564"	"725564, "	"Georgia O'Keeffe. Untitled (New York), 1925-1932. Graphite on paper, 7 7/8 x 6 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.100]"	"515"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
